smnno,first_month,amount,second_month,amount,third_month,amount 
JP0121,JUL,3000,AUG,3000,SEP,3000
JP0122,JUL,15250,AUG,15250,SEP,15250
JP0124,JUL,43187,AUG,43187,SEP,43187
JP0125,JUL,23209,AUG,23209,SEP,23209
JP0127,JUL,25250,AUG,25250,SEP,25250
JP0128,JUL,4855.666667,AUG,4855.666667,SEP,4855.666667
JP0130,JUL,3000,AUG,3000,SEP,3000
JP0131,JUL,30959,AUG,30959,SEP,30959
JP0132,JUL,36763,AUG,36763,SEP,36763
JP0133,JUL,9150,AUG,9150,SEP,9150
JP0138,JUL,3000,AUG,3000,SEP,3000
JP0139,JUL,18633,AUG,18633,SEP,18633
JP0150,JUL,20000,AUG,20000,SEP,20000
JP0151,JUL,40169.66667,AUG,40169.66667,SEP,40169.66667
JP0152,JUL,32603,AUG,32603,SEP,32603
JP0153,JUL,38163.66667,AUG,38163.66667,SEP,38163.66667
JP0154,JUL,24588,AUG,24588,SEP,24588
JP0155,JUL,15667,AUG,15667,SEP,15667
JP0158,JUL,5000,AUG,5000,SEP,5000
JP0165,JUL,8734,AUG,8734,SEP,8734
JP0169,JUL,5000,AUG,5000,SEP,5000
JP0170,JUL,3000,AUG,3000,SEP,3000
JP0172,JUL,19411.33337,AUG,19411.33337,SEP,19411.33337
JP0175,JUL,22667,AUG,22667,SEP,22667
JP0176,JUL,17167,AUG,17167,SEP,17167
JP0177,JUL,26095.66667,AUG,26095.66667,SEP,26095.66667
JP0178,JUL,25886,AUG,25886,SEP,25886
JP0179,JUL,31832.44444,AUG,31832.44444,SEP,31832.44444
JP0184,JUL,3000,AUG,3000,SEP,3000
JP0199,JUL,16791,AUG,16791,SEP,16791
JP0200,JUL,24249,AUG,24249,SEP,24249
JP0207,JUL,27483,AUG,27483,SEP,27483
JP0208,JUL,3000,AUG,3000,SEP,3000
JP0209,JUL,10000,AUG,10000,SEP,10000
Jp0210,JUL,10000,AUG,10000,SEP,10000
JP0211,JUL,17004,AUG,17004,SEP,17004
JP0212,JUL,5000,AUG,5000,SEP,5000
JP0215,JUL,3000,AUG,3000,SEP,3000
JP0217,JUL,23544,AUG,23544,SEP,23544
JP0220,JUL,27583.66667,AUG,27583.66667,SEP,27583.66667
Jp0222,JUL,22527.33333,AUG,22527.33333,SEP,22527.33333
JP0223,JUL,3000,AUG,3000,SEP,3000
JP0224,JUL,5000,AUG,5000,SEP,5000
JP0225,JUL,3000,AUG,3000,SEP,3000
JP0226,JUL,41599,AUG,41599,SEP,41599
JP0229,JUL,30145.33333,AUG,30145.33333,SEP,30145.33333
JP0231,JUL,19117,AUG,19117,SEP,19117
JP0230,JUL,33822,AUG,33822,SEP,33822
JP0232,JUL,10053,AUG,10053,SEP,10053
JP0233,JUL,14209,AUG,14209,SEP,14209
JP0235,JUL,28000,AUG,28000,SEP,28000
JP0241,JUL,31750,AUG,31750,SEP,31750
JP0242,JUL,19667,AUG,19667,SEP,19667
JP0243,JUL,3000,AUG,3000,SEP,3000
JP0245,JUL,3000,AUG,3000,SEP,3000
JP0246,JUL,0,AUG,0,SEP,0
JP0273,JUL,3000,AUG,3000,SEP,3000
JP0286,JUL,13567,AUG,13567,SEP,13567
JP0288,JUL,17950,AUG,17950,SEP,17950
JP0289,JUL,11584,AUG,11584,SEP,11584
JP0290,JUL,14567,AUG,14567,SEP,14567
JP0291,JUL,41581,AUG,41581,SEP,41581
JP0292,JUL,19500,AUG,19500,SEP,19500
JP0294,JUL,58066,AUG,58066,SEP,58066
JP0295,JUL,31483,AUG,31483,SEP,31483
JP0296,JUL,15584,AUG,15584,SEP,15584
JP0297,JUL,3000,AUG,3000,SEP,3000
JP0298,JUL,3000,AUG,3000,SEP,3000
JP0301,JUL,43167,AUG,43167,SEP,43167
JP0303,JUL,12037,AUG,12037,SEP,12037
JP0304,JUL,12670.84,AUG,12670.84,SEP,12670.84
JP0307,JUL,17167,AUG,17167,SEP,17167
JP0308,JUL,8000,AUG,8000,SEP,8000
JP0310,JUL,38775,AUG,38775,SEP,38775
JP0312,JUL,34167,AUG,34167,SEP,34167
JP0313,JUL,25794,AUG,25794,SEP,25794
JP0314,JUL,12417,AUG,12417,SEP,12417
JP0319,JUL,41424,AUG,41424,SEP,41424
JP0322,JUL,0,AUG,0,SEP,0
JP0324,JUL,19108,AUG,19108,SEP,19108
JP0328,JUL,3000,AUG,3000,SEP,3000
JP0331,JUL,28500,AUG,28500,SEP,28500
JP0332,JUL,34008,AUG,34008,SEP,34008
JP0333,JUL,18792,AUG,18792,SEP,18792
JP0337,JUL,3000,AUG,3000,SEP,3000
JP0338,JUL,23245,AUG,23245,SEP,23245
JP0339,JUL,14042,AUG,14042,SEP,14042
JP0340,JUL,15500,AUG,15500,SEP,15500
JP0341,JUL,23605,AUG,23605,SEP,23605
JP0342,JUL,15583,AUG,15583,SEP,15583
JP0344,JUL,9250,AUG,9250,SEP,9250
JP0345,JUL,3000,AUG,3000,SEP,3000
JP0349,JUL,24014,AUG,24014,SEP,24014
JP0352,JUL,33092,AUG,33092,SEP,33092
JP0354,JUL,40767,AUG,40767,SEP,40767
JP0355,JUL,14500,AUG,14500,SEP,14500
JP0356,JUL,5000,AUG,5000,SEP,5000
JP0357,JUL,13000,AUG,13000,SEP,13000
JP0358,JUL,23217,AUG,23217,SEP,23217
JP0359,JUL,3000,AUG,3000,SEP,3000
JP0360,JUL,3000,AUG,3000,SEP,3000
JP0361,JUL,3000,AUG,3000,SEP,3000
JP0363,JUL,8000,AUG,8000,SEP,8000
JP0364,JUL,33708.33333,AUG,33708.33333,SEP,33708.33333
JP0365,JUL,3000,AUG,3000,SEP,3000
JP0366,JUL,16750,AUG,16750,SEP,16750
JP0367,JUL,21500,AUG,21500,SEP,21500
JP0368,JUL,3000,AUG,3000,SEP,3000
JP0369,JUL,10000,AUG,10000,SEP,10000
JP0371,JUL,33343,AUG,33343,SEP,33343
JP0373,JUL,10000,AUG,10000,SEP,10000
JP0375,JUL,3000,AUG,3000,SEP,3000
JP0376,JUL,39867,AUG,39867,SEP,39867
JP0377,JUL,17631,AUG,17631,SEP,17631
JP0378,JUL,3000,AUG,3000,SEP,3000
JP0380,JUL,33292,AUG,33292,SEP,33292
JP0382,JUL,3000,AUG,3000,SEP,3000
JP0383,JUL,13083,AUG,13083,SEP,13083
JP0385,JUL,3000,AUG,3000,SEP,3000
JP0384,JUL,3000,AUG,3000,SEP,3000
JP0387,JUL,41774.22222,AUG,41774.22222,SEP,41774.22222
JP0389,JUL,3000,AUG,3000,SEP,3000
JP0390,JUL,28739,AUG,28739,SEP,28739
JP0391,JUL,10000,AUG,10000,SEP,10000
JP0392,JUL,42337,AUG,42337,SEP,42337
JP0393,JUL,19500,AUG,19500,SEP,19500
JP0394,JUL,28500,AUG,28500,SEP,28500
JP0395,JUL,8000,AUG,8000,SEP,8000
JP0397,JUL,25120,AUG,25120,SEP,25120
JP0398,JUL,32833,AUG,32833,SEP,32833
JP0400,JUL,5000,AUG,5000,SEP,5000
JP0401,JUL,15000,AUG,15000,SEP,15000
JP0403,JUL,5000,AUG,5000,SEP,5000
JP0405,JUL,16575,AUG,16575,SEP,16575
JP0407,JUL,14750,AUG,14750,SEP,14750
JP0408,JUL,34715.66667,AUG,34715.66667,SEP,34715.66667
JP0410,JUL,13500,AUG,13500,SEP,13500
JP0418,JUL,3000,AUG,3000,SEP,3000
JP0420,JUL,38275,AUG,38275,SEP,38275
JP0429,JUL,5000,AUG,5000,SEP,5000
JP0433,JUL,5000,AUG,5000,SEP,5000
JP0436,JUL,11217,AUG,11217,SEP,11217
JP0438,JUL,5000,AUG,5000,SEP,5000
JP0446,JUL,17754,AUG,17754,SEP,17754
JP0448,JUL,17167,AUG,17167,SEP,17167
JP0449,JUL,11184,AUG,11184,SEP,11184
JP0464,JUL,5000,AUG,5000,SEP,5000
JP0466,JUL,5000,AUG,5000,SEP,5000
JP0468,JUL,31817,AUG,31817,SEP,31817
JP0450,JUL,13584,AUG,13584,SEP,13584
JP0451,JUL,11784,AUG,11784,SEP,11784
JP0452,JUL,14117,AUG,14117,SEP,14117
JP0453,JUL,5000,AUG,5000,SEP,5000
JP0454,JUL,11250,AUG,11250,SEP,11250
JP0456,JUL,5000,AUG,5000,SEP,5000
JP0455,JUL,5000,AUG,5000,SEP,5000
JP0457,JUL,5000,AUG,5000,SEP,5000
JP0476,JUL,13584,AUG,13584,SEP,13584
JP0147,JUL,5000,AUG,5000,SEP,5000
SP0342,JUL,5000,AUG,5000,SEP,5000
SP0002,JUL,55447,AUG,55447,SEP,55447
SP0006,JUL,27958.34,AUG,27958.34,SEP,27958.34
SP0009,JUL,30000,AUG,30000,SEP,30000
SP0017,JUL,5000,AUG,5000,SEP,5000
SP0024,JUL,10000,AUG,10000,SEP,10000
SP0029,JUL,15000,AUG,15000,SEP,15000
SP0033,JUL,50167,AUG,50167,SEP,50167
SP0042,JUL,37500,AUG,37500,SEP,37500
SP0043,JUL,72167,AUG,72167,SEP,72167
SP0044,JUL,160000,AUG,160000,SEP,160000
SP0057,JUL,20000,AUG,20000,SEP,20000
SP0059,JUL,23238,AUG,23238,SEP,23238
SP0068,JUL,65723.33333,AUG,65723.33333,SEP,65723.33333
SP0071,JUL,10000,AUG,10000,SEP,10000
SP0072,JUL,67817,AUG,67817,SEP,67817
SP0073,JUL,23617,AUG,23617,SEP,23617
SP0075,JUL,46666.66667,AUG,46666.66667,SEP,46666.66667
SP0079,JUL,58004,AUG,58004,SEP,58004
SP0081,JUL,30000,AUG,30000,SEP,30000
SP0082,JUL,99374.16667,AUG,99374.16667,SEP,99374.16667
SP0084,JUL,30034,AUG,30034,SEP,30034
SP0085,JUL,20000,AUG,20000,SEP,20000
SP0086,JUL,42037,AUG,42037,SEP,42037
SP0087,JUL,33351.66667,AUG,33351.66667,SEP,33351.66667
SP0093,JUL,72334,AUG,72334,SEP,72334
SP0094,JUL,92700,AUG,92700,SEP,92700
SP0096,JUL,39151,AUG,39151,SEP,39151
SP0098,JUL,69483,AUG,69483,SEP,69483
SP0099,JUL,10000,AUG,10000,SEP,10000
SP0100,JUL,114003,AUG,114003,SEP,114003
SP0101,JUL,65893,AUG,65893,SEP,65893
SP1026,JUL,10000,AUG,10000,SEP,10000
SP1030,JUL,5000,AUG,5000,SEP,5000
SP1038,JUL,5000,AUG,5000,SEP,5000
SP1039,JUL,19259,AUG,19259,SEP,19259
SP1041,JUL,10200,AUG,10200,SEP,10200
SP1045,JUL,5000,AUG,5000,SEP,5000
SP0105,JUL,58516.66667,AUG,58516.66667,SEP,58516.66667
SP1053,JUL,14167,AUG,14167,SEP,14167
SP1055,JUL,125000,AUG,125000,SEP,125000
SP1057,JUL,50000,AUG,50000,SEP,50000
SP0106,JUL,5000,AUG,5000,SEP,5000
SP1065,JUL,18334,AUG,18334,SEP,18334
SP1067,JUL,5000,AUG,5000,SEP,5000
SP0107,JUL,41488.47619,AUG,41488.47619,SEP,41488.47619
SP1070,JUL,20000,AUG,20000,SEP,20000
SP1072,JUL,15484,AUG,15484,SEP,15484
SP1074,JUL,20000,AUG,20000,SEP,20000
SP1079,JUL,5000,AUG,5000,SEP,5000
SP1081,JUL,53250,AUG,53250,SEP,53250
SP0110,JUL,18792,AUG,18792,SEP,18792
SP1105,JUL,22500,AUG,22500,SEP,22500
SP1107,JUL,33250,AUG,33250,SEP,33250
SP1108,JUL,40000,AUG,40000,SEP,40000
SP1111,JUL,60000,AUG,60000,SEP,60000
SP1113,JUL,5000,AUG,5000,SEP,5000
SP1029,JUL,5000,AUG,5000,SEP,5000
SP0114,JUL,123667,AUG,123667,SEP,123667
SP1140,JUL,26267,AUG,26267,SEP,26267
SP1142,JUL,10000,AUG,10000,SEP,10000
SP1143,JUL,5000,AUG,5000,SEP,5000
SP1145,JUL,8000,AUG,8000,SEP,8000
SP1153,JUL,47809,AUG,47809,SEP,47809
SP1162,JUL,10000,AUG,10000,SEP,10000
SP1167,JUL,10000,AUG,10000,SEP,10000
SP1170,JUL,10000,AUG,10000,SEP,10000
SP1172,JUL,60401,AUG,60401,SEP,60401
SP1175,JUL,16100,AUG,16100,SEP,16100
SP1176,JUL,5000,AUG,5000,SEP,5000
SP0119,JUL,55034,AUG,55034,SEP,55034
SP1198,JUL,41666.66667,AUG,41666.66667,SEP,41666.66667
SP0120,JUL,97368,AUG,97368,SEP,97368
SP1200,JUL,55204,AUG,55204,SEP,55204
SP1201,JUL,31917,AUG,31917,SEP,31917
SP1204,JUL,3000,AUG,3000,SEP,3000
SP1206,JUL,10000,AUG,10000,SEP,10000
SP0121,JUL,15617,AUG,15617,SEP,15617
SP1221,JUL,29717,AUG,29717,SEP,29717
SP1234,JUL,23784,AUG,23784,SEP,23784
SP1237,JUL,16234,AUG,16234,SEP,16234
SP0124,JUL,43688,AUG,43688,SEP,43688
SP1246,JUL,51701,AUG,51701,SEP,51701
SP0126,JUL,10000,AUG,10000,SEP,10000
SP0127,JUL,22416,AUG,22416,SEP,22416
SP0128,JUL,18334,AUG,18334,SEP,18334
SP0130,JUL,30817,AUG,30817,SEP,30817
SP0131,JUL,27817,AUG,27817,SEP,27817
SP0133,JUL,31729,AUG,31729,SEP,31729
SP0135,JUL,65967,AUG,65967,SEP,65967
SP0136,JUL,27566,AUG,27566,SEP,27566
SP0137,JUL,5000,AUG,5000,SEP,5000
SP0140,JUL,98138,AUG,98138,SEP,98138
SP0141,JUL,42417,AUG,42417,SEP,42417
SP0143,JUL,14417,AUG,14417,SEP,14417
JP0111,JUL,33158,AUG,33158,SEP,33158
SP0145,JUL,30000,AUG,30000,SEP,30000
SP0146,JUL,5000,AUG,5000,SEP,5000
SP0148,JUL,157500,AUG,157500,SEP,157500
SP0149,JUL,19167,AUG,19167,SEP,19167
SP0150,JUL,10000,AUG,10000,SEP,10000
SP0151,JUL,52950,AUG,52950,SEP,52950
SP0153,JUL,5000,AUG,5000,SEP,5000
SP0155,JUL,47099.33333,AUG,47099.33333,SEP,47099.33333
SP0156,JUL,37883,AUG,37883,SEP,37883
SP0157,JUL,74167,AUG,74167,SEP,74167
SP0160,JUL,75944,AUG,75944,SEP,75944
SP0163,JUL,78791.66667,AUG,78791.66667,SEP,78791.66667
SP0164,JUL,32850,AUG,32850,SEP,32850
SP0165,JUL,47550,AUG,47550,SEP,47550
SP0166,JUL,3000,AUG,3000,SEP,3000
SP0167,JUL,55000,AUG,55000,SEP,55000
SP0168,JUL,10000,AUG,10000,SEP,10000
SP0169,JUL,65050,AUG,65050,SEP,65050
SP0170,JUL,48953,AUG,48953,SEP,48953
SP0171,JUL,20000,AUG,20000,SEP,20000
SP0172,JUL,58824,AUG,58824,SEP,58824
SP0179,JUL,8367,AUG,8367,SEP,8367
SP0180,JUL,34422,AUG,34422,SEP,34422
SP0181,JUL,37101,AUG,37101,SEP,37101
SP0182,JUL,27017,AUG,27017,SEP,27017
SP0184,JUL,0,AUG,0,SEP,0
SP0188,JUL,34082,AUG,34082,SEP,34082
SP0189,JUL,55875,AUG,55875,SEP,55875
SP0192,JUL,21000,AUG,21000,SEP,21000
SP0196,JUL,29584,AUG,29584,SEP,29584
SP0198,JUL,0,AUG,0,SEP,0
SP0199,JUL,28012.7,AUG,28012.7,SEP,28012.7
SP0201,JUL,106877,AUG,106877,SEP,106877
SP0202,JUL,84913,AUG,84913,SEP,84913
SP0205,JUL,25967,AUG,25967,SEP,25967
SP0207,JUL,59700.34,AUG,59700.34,SEP,59700.34
SP0208,JUL,6000,AUG,6000,SEP,6000
SP0210,JUL,48651,AUG,48651,SEP,48651
SP0213,JUL,35980,AUG,35980,SEP,35980
SP0214,JUL,5000,AUG,5000,SEP,5000
SP0220,JUL,37500,AUG,37500,SEP,37500
SP0221,JUL,34990,AUG,34990,SEP,34990
SP0222,JUL,75157.33333,AUG,75157.33333,SEP,75157.33333
SP0225,JUL,20000,AUG,20000,SEP,20000
SP0226,JUL,17509,AUG,17509,SEP,17509
SP0227,JUL,25834,AUG,25834,SEP,25834
SP0228,JUL,37394,AUG,37394,SEP,37394
SP0229,JUL,66434.33333,AUG,66434.33333,SEP,66434.33333
SP0230,JUL,5000,AUG,5000,SEP,5000
SP0231,JUL,83042,AUG,83042,SEP,83042
SP0232,JUL,28250,AUG,28250,SEP,28250
SP0234,JUL,161241,AUG,161241,SEP,161241
SP0237,JUL,55011,AUG,55011,SEP,55011
SP0239,JUL,21667,AUG,21667,SEP,21667
SP0241,JUL,20000,AUG,20000,SEP,20000
SP0243,JUL,37125,AUG,37125,SEP,37125
SP0245,JUL,73051,AUG,73051,SEP,73051
SP0249,JUL,32959,AUG,32959,SEP,32959
SP0250,JUL,5000,AUG,5000,SEP,5000
SP0251,JUL,18534,AUG,18534,SEP,18534
SP0254,JUL,15000,AUG,15000,SEP,15000
SP0258,JUL,10000,AUG,10000,SEP,10000
SP0260,JUL,10000,AUG,10000,SEP,10000
SP0262,JUL,10000,AUG,10000,SEP,10000
SP0265,JUL,33967,AUG,33967,SEP,33967
SP0267,JUL,5000,AUG,5000,SEP,5000
SP0270,JUL,3000,AUG,3000,SEP,3000
SP0271,JUL,10000,AUG,10000,SEP,10000
SP0272,JUL,40000,AUG,40000,SEP,40000
SP0273,JUL,30000,AUG,30000,SEP,30000
SP0274,JUL,51667,AUG,51667,SEP,51667
SP0276,JUL,10000,AUG,10000,SEP,10000
SP0277,JUL,5000,AUG,5000,SEP,5000
SP0279,JUL,70699,AUG,70699,SEP,70699
SP0282,JUL,38334,AUG,38334,SEP,38334
SP0283,JUL,10000,AUG,10000,SEP,10000
SP0286,JUL,20000,AUG,20000,SEP,20000
SP0292,JUL,90300,AUG,90300,SEP,90300
SP0297,JUL,0,AUG,0,SEP,0
SP0299,JUL,48916,AUG,48916,SEP,48916
SP0304,JUL,96122,AUG,96122,SEP,96122
SP0306,JUL,4400,AUG,4400,SEP,4400
SP0307,JUL,32331.33333,AUG,32331.33333,SEP,32331.33333
SP0308,JUL,83759,AUG,83759,SEP,83759
SP0309,JUL,41709,AUG,41709,SEP,41709
SP0312,JUL,30392,AUG,30392,SEP,30392
SP0313,JUL,10000,AUG,10000,SEP,10000
SP0316,JUL,5000,AUG,5000,SEP,5000
SP0317,JUL,6948.666667,AUG,6948.666667,SEP,6948.666667
SP0318,JUL,30834,AUG,30834,SEP,30834
SP0321,JUL,10000,AUG,10000,SEP,10000
SP0323,JUL,0,AUG,0,SEP,0
SP0324,JUL,53741,AUG,53741,SEP,53741
SP0325,JUL,5000,AUG,5000,SEP,5000
SP0327,JUL,15625,AUG,15625,SEP,15625
SP0330,JUL,5000,AUG,5000,SEP,5000
SP0333,JUL,5000,AUG,5000,SEP,5000
SP0334,JUL,22500,AUG,22500,SEP,22500
SP0335,JUL,10000,AUG,10000,SEP,10000
SP0336,JUL,45000,AUG,45000,SEP,45000
SP0337,JUL,42666.66667,AUG,42666.66667,SEP,42666.66667
SP0341,JUL,66634,AUG,66634,SEP,66634
SP0343,JUL,74384,AUG,74384,SEP,74384
SP0344,JUL,29833.33333,AUG,29833.33333,SEP,29833.33333
SP0345,JUL,56467,AUG,56467,SEP,56467
SP0346,JUL,0,AUG,0,SEP,0
SP0347,JUL,150000,AUG,150000,SEP,150000
SP0351,JUL,102775,AUG,102775,SEP,102775
SP0352,JUL,78200,AUG,78200,SEP,78200
SP0353,JUL,142664,AUG,142664,SEP,142664
SP0355,JUL,47650,AUG,47650,SEP,47650
SP0357,JUL,44357,AUG,44357,SEP,44357
SP0361,JUL,42892.33333,AUG,42892.33333,SEP,42892.33333
SP0362,JUL,43333.33,AUG,43333.33,SEP,43333.33
SP0363,JUL,31400,AUG,31400,SEP,31400
SP0365,JUL,10000,AUG,10000,SEP,10000
SP0368,JUL,3000,AUG,3000,SEP,3000
SP0369,JUL,16417,AUG,16417,SEP,16417
SP0371,JUL,10000,AUG,10000,SEP,10000
SP0372,JUL,13335,AUG,13335,SEP,13335
SP0373,JUL,5000,AUG,5000,SEP,5000
SP0374,JUL,10000,AUG,10000,SEP,10000
SP0376,JUL,37217,AUG,37217,SEP,37217
SP0377,JUL,20000,AUG,20000,SEP,20000
SP0378,JUL,10000,AUG,10000,SEP,10000
SP0379,JUL,5000,AUG,5000,SEP,5000
SP0380,JUL,5000,AUG,5000,SEP,5000
SP0382,JUL,20000,AUG,20000,SEP,20000
SP0383,JUL,42933,AUG,42933,SEP,42933
SP0384,JUL,61666.66667,AUG,61666.66667,SEP,61666.66667
SP0386,JUL,96905.66667,AUG,96905.66667,SEP,96905.66667
SP0387,JUL,49167,AUG,49167,SEP,49167
SP0388,JUL,160000,AUG,160000,SEP,160000
SP0394,JUL,11500,AUG,11500,SEP,11500
SP0396,JUL,151168,AUG,151168,SEP,151168
SP0398,JUL,14683,AUG,14683,SEP,14683
SP0399,JUL,29716,AUG,29716,SEP,29716
SP0400,JUL,5000,AUG,5000,SEP,5000
SP0402,JUL,8550,AUG,8550,SEP,8550
SP0403,JUL,5000,AUG,5000,SEP,5000
SP0406,JUL,10000,AUG,10000,SEP,10000
SP0408,JUL,40000,AUG,40000,SEP,40000
SP0409,JUL,10000,AUG,10000,SEP,10000
SP0413,JUL,5000,AUG,5000,SEP,5000
SP0417,JUL,90875,AUG,90875,SEP,90875
SP0418,JUL,5000,AUG,5000,SEP,5000
SP0420,JUL,76950,AUG,76950,SEP,76950
SP0421,JUL,10000,AUG,10000,SEP,10000
SP0422,JUL,0,AUG,0,SEP,0
SP0423,JUL,75033,AUG,75033,SEP,75033
SP0426,JUL,30400,AUG,30400,SEP,30400
SP0427,JUL,32917,AUG,32917,SEP,32917
SP0428,JUL,77667,AUG,77667,SEP,77667
SP0433,JUL,15500,AUG,15500,SEP,15500
SP0434,JUL,10000,AUG,10000,SEP,10000
SP0435,JUL,62937,AUG,62937,SEP,62937
SP0441,JUL,5000,AUG,5000,SEP,5000
SP0442,JUL,16800,AUG,16800,SEP,16800
SP0443,JUL,74770,AUG,74770,SEP,74770
SP0444,JUL,3000,AUG,3000,SEP,3000
SP0445,JUL,45167,AUG,45167,SEP,45167
SP0447,JUL,5000,AUG,5000,SEP,5000
SP0449,JUL,10000,AUG,10000,SEP,10000
SP0450,JUL,5000,AUG,5000,SEP,5000
SP0451,JUL,25834,AUG,25834,SEP,25834
SP0456,JUL,0,AUG,0,SEP,0
SP0462,JUL,31667,AUG,31667,SEP,31667
SP0466,JUL,5000,AUG,5000,SEP,5000
SP0467,JUL,29750,AUG,29750,SEP,29750
SP0472,JUL,108421,AUG,108421,SEP,108421
SP0473,JUL,200000,AUG,200000,SEP,200000
SP0474,JUL,27533,AUG,27533,SEP,27533
SP0475,JUL,23333,AUG,23333,SEP,23333
SP0476,JUL,23600,AUG,23600,SEP,23600
SP0477,JUL,75000,AUG,75000,SEP,75000
SP0478,JUL,58775,AUG,58775,SEP,58775
SP0479,JUL,94628,AUG,94628,SEP,94628
SP0480,JUL,10000,AUG,10000,SEP,10000
SP0482,JUL,3000,AUG,3000,SEP,3000
SP0483,JUL,100093,AUG,100093,SEP,100093
SP0485,JUL,61788,AUG,61788,SEP,61788
SP0486,JUL,55708,AUG,55708,SEP,55708
SP0487,JUL,46667,AUG,46667,SEP,46667
SP0488,JUL,30267,AUG,30267,SEP,30267
SP0491,JUL,13450,AUG,13450,SEP,13450
SP0496,JUL,35917,AUG,35917,SEP,35917
SP0499,JUL,5000,AUG,5000,SEP,5000
SP0500,JUL,27467,AUG,27467,SEP,27467
SP0504,JUL,5000,AUG,5000,SEP,5000
SP0505,JUL,18584,AUG,18584,SEP,18584
SP0506,JUL,67458,AUG,67458,SEP,67458
SP0507,JUL,34656,AUG,34656,SEP,34656
SP0509,JUL,34145,AUG,34145,SEP,34145
SP0510,JUL,3000,AUG,3000,SEP,3000
SP0511,JUL,43053,AUG,43053,SEP,43053
SP0512,JUL,5000,AUG,5000,SEP,5000
SP0513,JUL,20000,AUG,20000,SEP,20000
SP0514,JUL,48333,AUG,48333,SEP,48333
SP0519,JUL,5000,AUG,5000,SEP,5000
SP0520,JUL,59275,AUG,59275,SEP,59275
SP0521,JUL,22500,AUG,22500,SEP,22500
SP0522,JUL,10000,AUG,10000,SEP,10000
SP0524,JUL,57589,AUG,57589,SEP,57589
SP0526,JUL,10000,AUG,10000,SEP,10000
SP0529,JUL,16550,AUG,16550,SEP,16550
SP0530,JUL,10000,AUG,10000,SEP,10000
SP0533,JUL,31883,AUG,31883,SEP,31883
SP0534,JUL,20000,AUG,20000,SEP,20000
SP0542,JUL,5000,AUG,5000,SEP,5000
SP0543,JUL,3000,AUG,3000,SEP,3000
SP0546,JUL,19083,AUG,19083,SEP,19083
SP0547,JUL,5000,AUG,5000,SEP,5000
SP0552,JUL,74257,AUG,74257,SEP,74257
SP0553,JUL,4000,AUG,4000,SEP,4000
SP0554,JUL,112682,AUG,112682,SEP,112682
SP0555,JUL,43167,AUG,43167,SEP,43167
SP0556,JUL,89302,AUG,89302,SEP,89302
SP0560,JUL,59050,AUG,59050,SEP,59050
SP0561,JUL,28000,AUG,28000,SEP,28000
SP0562,JUL,5000,AUG,5000,SEP,5000
